Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 No","1206734.806","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 No","1223640.16","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","1240613.62","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","1257621.191","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","1274487.215","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","1291132.063","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","1307246.509","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","1322866.505","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","1338636.34","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","1354195.68","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1369003.306","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1383112.05","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","1396387.127","X","Figure from international organizations",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1407563.842","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 No","5750.637","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 No","5909.819","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 No","6073.833","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 No","6243.883","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 No","6419.882","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 No","6601.785","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 No","6790.145","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 No","6985.793","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 No","7189.279","X","Figure from international organizations",""
"OA","Annual population","800","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 No","7401.282","X","Figure from international organizations",""
